name,dob,gender,email,phone,address,pan,aadhaar,loan_type,loan_amount,income,credit_score,debt_to_income_ratio,loan_purpose,application_channel,repayment_status,loan_approval_status,ip_address,device_id,user_agent,city,state,geo_lat,geo_long,form_fill_time_seconds,login_time_hour,failed_otp_count,num_txn_last_30d,shared_phone_count,shared_device_count,shared_ip_count,email_domain_count,aadhaar_verified,pan_verified,phone_verified,doc_match_score,is_fraud
Bhavani Gour,1999-05-14,Male,obalan@example.com,3028419537,"39/63, Trivedi Circle, Erode 337539",GSOBT79972,268774685467,Personal,347766,1634450,360.0,0.21,Marriage,Online,On-time,Rejected,116.170.31.98,b3798d83-ad78-4166-8be9-47d758793c7b,Chrome,Kirari Suleman Nagar,Arunachal Pradesh,22.910527,76.075841,505,6,4,16,1,1,1,10,True,True,True,0.83,0
Harinakshi Sachdev,1962-02-21,Female,kai12@example.net,7618968794,"91/034, Muni Circle, Jabalpur 928999",KERFL23085,313117872231,Education,848637,347815,399.0,2.44,Business,Branch,Delayed,Rejected,44.224.123.24,371c715d-3975-4358-b6ef-6c166f47e26a,Safari,Buxar,Haryana,21.543715,89.1432,108,1,3,93,1,1,1,6,True,True,True,0.92,0
Ishani Iyer,1964-04-26,Male,bobalsara@example.net,5604116098,"H.No. 313, Chhabra Nagar, Karimnagar-989627",MDXSW71025,657087780047,Home,2299345,1090810,443.0,2.11,Medical,Online,Delayed,Rejected,201.210.147.248,1aa8f78e-1814-4c55-8c2d-85d5e9912bd8,Firefox,Mehsana,Uttar Pradesh,33.360093,70.186162,571,3,0,83,1,1,1,9,True,True,True,0.93,0
Harish Anand,1959-12-01,Male,nakul91@example.com,2676991376,"H.No. 472, Bassi Chowk, Mathura 859770",LWYJQ54241,893134106293,Home,1754624,1168463,792.0,1.5,Marriage,Branch,On-time,Approved,108.127.226.206,61ccf776-5b66-44de-9dde-f261b7835ab8,Safari,Mahbubnagar,Tamil Nadu,8.062506,79.322231,473,9,3,89,1,1,1,9,True,True,True,0.86,0
Faqid Sarma,2001-02-01,Male,somanpavani@example.net,3392952099,"899, Bhalla Circle, Amravati-651426",HZEHO93399,543820230054,Auto,963103,272648,362.0,3.53,Business,Branch,On-time,Approved,26.90.250.18,d05f1749-4270-4cdb-8a79-f5a2c667d69e,Opera,Rewa,Nagaland,21.826867,94.662227,551,5,0,65,1,1,1,2,True,True,True,0.94,0
Aditya Mall,1970-07-07,Male,jrajagopal@example.net,1731055708,"808, Sami Ganj, Tumkur-449176",KXYUX67202,500608302311,Home,1743557,401420,,4.34,Investment,Agent,On-time,Approved,154.155.255.134,efc33aa7-c120-49b8-b559-42965aa07024,Safari,Tiruppur,Maharashtra,27.063822,84.391581,25,8,1,85,3,3,2,5,False,True,False,0.29,1
Mohini Lanka,1996-12-24,Male,iradhakrishnan@example.org,7590518334,"H.No. 00, Saha Street, Bhilai 848699",LPPLK12721,653535173362,Personal,1972188,1452665,402.0,1.36,Renovation,Agent,On-time,Rejected,189.227.55.113,93d2735b-d750-4249-9ad7-ae45dcb634cc,Firefox,Nashik,Andhra Pradesh,35.064522,93.545061,258,11,2,20,1,1,1,8,True,True,True,0.93,0
Pahal Saini,1963-02-08,Other,abhimanyu10@example.net,1967909200,"H.No. 70, Mittal Chowk, Pudukkottai 160409",VKWZN52143,825429655081,Business,82812,1550610,606.0,0.05,Business,Online,On-time,Rejected,83.213.78.115,838b8f7d-b112-421c-83ac-5bb0cd646790,Chrome,Bikaner,Andhra Pradesh,33.801669,89.530084,167,8,2,77,1,1,1,4,True,True,True,0.89,0
Karan Mohan,1974-09-25,Other,samesh17@example.com,8376750039,"H.No. 001, Jain Path, Tiruchirappalli-877783",OHVFF04414,692318591075,Auto,2169839,1174525,557.0,1.85,Renovation,Online,Defaulted,Rejected,192.52.30.87,78c1d46c-bc0c-42d4-bc58-a692961beb94,Edge,Kavali,West Bengal,9.278516,77.67314,141,20,2,20,1,1,1,8,True,True,True,0.82,0
Yash Pradhan,1972-05-28,Male,gavin41@example.org,1577347829,"H.No. 52, Vohra Marg, Solapur-897929",LVTHV39707,553587804831,Personal,365595,1599173,452.0,0.23,Investment,Online,Delayed,Approved,218.116.168.32,dbc8128e-1415-4f45-ad4b-db6e08667a24,Safari,Sambhal,Odisha,11.69592,76.939492,48,11,1,87,1,1,1,4,True,True,True,0.87,0
Janaki Pillai,1965-09-15,Other,oghose@example.net,5256705091,"H.No. 841, Mall Ganj, Bardhaman-034994",XXGYN11880,527243128318,Education,698243,646474,466.0,1.08,Marriage,Branch,On-time,Approved,138.93.105.228,d01dcbbb-47a9-4288-84d8-e5c45fa44012,Edge,Gandhidham,Assam,30.689208,79.939682,262,8,1,100,1,1,1,2,True,True,True,0.75,0
Anika Chandran,1964-12-10,Female,gaurangraju@example.org,7732083357,"H.No. 294, Balan Road, Rourkela 835320",HLNPK83576,437719302400,Home,887069,1862506,535.0,0.48,Travel,Branch,On-time,Approved,205.85.37.36,8166e543-d969-4742-b1a9-8ef7f1642a50,Chrome,Loni,Gujarat,27.140962,79.555513,22,2,2,44,3,4,6,9,False,False,True,0.26,1
Ekaja Mani,1985-10-31,Female,nbadami@example.org,1300873509,"H.No. 247, Badal Street, Pimpri-Chinchwad-767345",SZHJX02364,929101772027,Personal,504673,1401100,744.0,0.36,Travel,Agent,Delayed,Rejected,222.143.176.74,fc8df909-3d6f-4e66-9981-620acbceb219,Opera,Durgapur,Uttarakhand,36.54284,71.353728,598,6,2,5,1,1,1,7,True,True,True,0.6,0
Manya Garg,1968-03-18,Other,dashyuvraj@example.net,2482979356,"340, Bansal Ganj, Begusarai-900019",FFPSU77773,804115484627,Home,1577655,1054496,371.0,1.5,Business,Branch,Defaulted,Rejected,202.170.170.28,d3f365bf-5e6a-429a-af18-5257c2d85117,Chrome,Meerut,Tripura,28.872874,76.709346,324,21,3,41,1,1,1,7,True,True,True,0.88,0
Rohan Toor,2005-12-31,Male,tjayaraman@example.com,8918609210,"79, Krishnan Road, Sultan Pur Majra 778449",QDPBV93498,405038658885,Education,1640250,1570438,478.0,1.04,Investment,Agent,Delayed,Rejected,216.168.99.167,03e2fb6b-8c46-406e-b332-16efee2ca72d,Opera,Deoghar,Tamil Nadu,32.17803,76.812374,223,13,4,77,1,1,1,6,True,True,True,0.79,0
Onveer Saran,1978-05-17,Male,sabharwalgaurika@example.net,7197857877,"15/55, Pandit Circle, Karawal Nagar 471717",UGBZG54717,374880857818,Business,2034686,1814583,473.0,1.12,Business,Online,Delayed,Rejected,187.236.46.107,9fc88216-7850-4896-a4d9-e29f3db83c29,Chrome,Kavali,Haryana,31.73428,89.783006,325,7,1,18,1,1,1,1,True,True,True,0.62,0
Anmol Sathe,1972-02-16,Other,krishnamurthykamya@example.net,3704632596,"H.No. 23, Nigam Road, Vijayanagaram-225123",CWTZP60500,790907066602,Personal,1960153,1019145,499.0,1.92,Business,Agent,Delayed,Rejected,170.139.135.80,14f9f085-92b6-436b-810e-e1b146b7f7e0,Safari,Proddatur,Telangana,15.075549,87.025682,13,3,3,28,1,1,1,3,True,True,True,0.92,0
Sai Sane,1986-02-04,Female,ksinha@example.net,0213087410,"85, Gera, Avadi 487660",GGFWK46858,810423664699,Personal,2387929,672606,424.0,3.55,Medical,Online,Delayed,Rejected,196.29.190.246,56a86450-25c0-4dea-98b3-6f1dcc50750e,Safari,Thoothukudi,Andhra Pradesh,25.766917,88.858945,524,13,4,57,1,1,1,3,True,True,True,0.9,0
Riya Dayal,1968-08-29,Female,rajagopalanwatika@example.com,8259580400,"88/58, Dhillon Zila, Tiruvottiyur-259269",RDZXG08486,286596209774,Home,1213128,1756027,833.0,0.69,Medical,Agent,On-time,Rejected,4.147.163.249,ea0cdd95-d803-4c6c-8ac6-ea493a716b84,Safari,Secunderabad,Tamil Nadu,10.247017,76.286116,286,10,2,69,1,1,1,2,True,True,True,0.66,0
Dhriti Baral,1961-12-15,Other,upadhriti14@example.org,6272074436,"17, Setty, Haridwar 835648",WEHTA13596,602478525949,Home,947383,284697,724.0,3.33,Medical,Branch,Defaulted,Rejected,204.230.94.243,3f33b26b-b1a5-4b45-aaac-17cfdffba054,Safari,Kolhapur,Mizoram,9.805706,92.153844,406,18,5,2,1,1,1,10,True,True,True,0.75,0
Manan Zacharia,1969-06-01,Female,gaurav70@example.org,7864753487,"348, Nadig Zila, Jamnagar 636459",OVKIS97333,501488672829,Auto,1685722,1939810,528.0,0.87,Investment,Agent,Defaulted,Approved,26.239.0.252,cf958e54-598d-4e2b-a79f-a6c0c0a0b75f,Safari,Yamunanagar,Karnataka,14.363227,80.639243,6,12,2,85,3,4,6,3,True,True,True,0.42,1
Oni Sabharwal,1997-08-24,Other,kabir47@example.org,6243599266,"91/410, Panchal, Surat-267134",ZMWOT22735,190144796835,Business,163674,326050,738.0,0.5,Marriage,Branch,On-time,Approved,135.23.8.55,4db9ad05-b660-4945-9e7b-9387e17d9a00,Edge,Ulhasnagar,Punjab,18.994012,74.138148,342,10,3,35,1,1,1,7,True,True,True,0.7,0
Robert Bala,1971-02-22,Male,narangsai@example.net,2972696351,"H.No. 92, Parikh Nagar, Khora -898564",TKWSZ77508,750805292240,Business,268462,883920,529.0,0.3,Business,Online,Defaulted,Approved,165.78.105.211,cd2762eb-ba24-4102-b2f0-5f7c874defad,Chrome,Firozabad,Kerala,35.53874,73.78146,28,19,1,30,1,1,1,3,True,True,True,0.79,0
Jagdish Venkatesh,1986-03-10,Male,owadhwa@example.net,6615393667,"87/987, Dora Ganj, New Delhi 789713",FHFTZ19551,599000548117,Education,1124763,1758301,677.0,0.64,Marriage,Agent,Defaulted,Approved,202.122.166.212,8e40dcb3-173d-4877-bfab-ab0638140252,Firefox,Bikaner,Tamil Nadu,35.976902,71.134864,34,9,4,86,1,1,1,7,True,True,True,0.76,0
Maya Chaudhari,1972-03-19,Male,mahika66@example.net,1566833816,"81/373, Oza Circle, Hospet 773733",MNGAJ08743,616248902150,Business,1068584,363702,608.0,2.94,Business,Agent,On-time,Approved,140.29.57.254,35d0b4a6-dfc1-4445-aaf4-530f0cf0a379,Edge,Nagpur,Maharashtra,23.449612,87.184119,78,16,5,43,1,1,1,1,True,True,True,0.94,0
Jatin Sibal,1979-04-11,Male,kandaekaraj@example.com,7862648318,"02/51, Bala Street, Kottayam-682968",GRZSH48944,852892710249,Education,1569126,1482918,770.0,1.06,Business,Online,Delayed,Approved,205.64.249.75,57500683-ab4e-4d87-8fdf-d8043026af8a,Opera,Davanagere,Odisha,35.998738,75.832389,559,15,3,55,1,1,1,10,True,True,True,0.71,0
Avi Mannan,2004-04-13,Male,ramajanaki@example.org,3179865711,"H.No. 74, Shanker Street, Bellary-722279",NCQUQ35748,245774652600,Auto,1940800,661418,775.0,2.93,Investment,Agent,Defaulted,Rejected,6.99.151.15,0e680659-86b8-4bb0-8bab-9bdf3d89e283,Edge,Dehradun,Haryana,8.8323,92.677632,194,15,1,45,1,1,1,5,True,True,True,0.74,0
Gaurika Ghose,1992-10-17,Other,jeevika10@example.net,3905063562,"55/09, Choudhary Road, Adoni-519625",XJDVG56665,776690371152,Auto,2381156,171288,829.0,13.9,Marriage,Online,On-time,Rejected,215.52.149.17,e3190cee-ff80-4708-bbc1-d26325758d97,Safari,Bardhaman,Tripura,24.10011,74.969394,495,20,5,62,1,1,1,8,True,True,True,0.92,0
Farhan Radhakrishnan,1964-01-05,Male,dassjai@example.com,8658600206,"73/105, Amble Marg, Malda 029124",KIGJI48323,530268777979,Education,1070495,792160,677.0,1.35,Medical,Agent,Defaulted,Rejected,35.231.202.231,a9dfc382-0407-4c3a-9b14-a9295ffd1e78,Safari,Thiruvananthapuram,Andhra Pradesh,36.902312,83.961266,368,22,3,34,1,1,1,5,True,True,True,0.7,0
Veer Panchal,1989-01-18,Male,jnarang@example.com,0964046136,"01/34, Sood Zila, Jamshedpur 487151",ULSVM84868,465702878209,Auto,551448,1707934,848.0,0.32,Business,Online,On-time,Approved,99.228.170.27,6caf217a-c0ad-437e-a654-d60fed0600d9,Safari,Ambala,Sikkim,16.018489,85.09802,545,19,2,12,1,1,1,4,True,True,True,0.72,0
Arjun Amble,1960-12-05,Female,sahasai@example.org,1370164758,"H.No. 302, Mahal Marg, Chapra-451403",GLVCI93932,832660434994,Personal,2290324,415463,580.0,5.51,Renovation,Online,Defaulted,Rejected,117.159.73.160,7cecc95e-bfc6-44f7-91c9-1dac08ea3c55,Firefox,Darbhanga,Karnataka,26.49822,89.830973,113,0,4,36,1,1,1,8,True,True,True,0.79,0
Nidra Parikh,1981-02-26,Male,jagdishkaul@example.com,9655208407,"31, Sharma Chowk, Guna-925724",RLEJF44946,832940007887,Auto,2053741,389258,366.0,5.28,Medical,Branch,On-time,Approved,159.106.78.136,09e67905-73c0-4371-ba88-c6e5d5617395,Firefox,Gandhidham,Rajasthan,12.32673,84.322348,319,2,1,15,1,1,1,9,True,True,True,0.91,0
Ishaan Panchal,1982-11-18,Other,damyanti53@example.org,2619241427,"70/90, Bera Street, Ambala-811040",JJODX85088,986633407097,Home,2241828,947710,761.0,2.37,Medical,Branch,Defaulted,Rejected,202.229.72.151,1269291a-f7ac-4a3c-85d0-e9542243c05f,Edge,Naihati,Madhya Pradesh,24.490255,69.746679,109,6,5,27,1,1,1,5,True,True,True,0.86,0
Wyatt Taneja,1984-06-15,Male,tanmayi07@example.com,7071797576,"50/20, Shetty Ganj, Jamshedpur 510919",SIMQE94881,858948631855,Business,364844,478272,302.0,0.76,Medical,Branch,Defaulted,Rejected,190.52.119.231,a1686f87-9c9e-4263-9215-76a51b3f9a78,Edge,Sambhal,Punjab,8.946556,76.355042,297,22,3,9,1,1,1,4,True,True,True,0.97,0
Ayaan Sani,1969-04-21,Other,chadsaumya@example.org,2913610289,"17/37, Chand Ganj, Saharanpur 250143",YRAAV42821,802786407336,Business,879713,1041581,417.0,0.84,Investment,Online,Defaulted,Approved,98.67.195.45,668f349e-e1bd-4349-b0d5-44b7b7b4d88f,Edge,Haldia,Goa,31.972304,70.070885,177,9,4,95,1,1,1,10,True,True,True,0.97,0
Rachita Banerjee,1988-09-27,Female,qnayar@example.com,0575794090,"76, Pillay Marg, Alappuzha 260100",UOKCN94951,925941034399,Auto,1738243,720941,812.0,2.41,Investment,Branch,Delayed,Approved,137.210.15.75,0c360d98-b275-42a4-89eb-e5729f550594,Opera,Sirsa,Karnataka,9.155963,80.528831,338,19,2,3,1,1,1,2,True,True,True,0.69,0
Arunima Arora,1972-06-02,Other,moreyashica@example.org,0637514383,"291, Dhawan Circle, Belgaum 473752",VZUJO14121,395857980782,Business,137012,1753818,575.0,0.08,Investment,Online,On-time,Rejected,133.203.3.199,cdaed182-d544-4a7f-8fe8-fd169f220148,Opera,Anand,Himachal Pradesh,26.893775,94.566111,193,18,3,81,1,1,1,8,True,True,True,0.99,0
Madhavi Gera,1999-02-11,Female,inaidu@example.net,1824305444,"H.No. 977, Ghosh, Akola 674573",MPGAC10842,422443931844,Auto,1396615,1555371,407.0,0.9,Marriage,Branch,Delayed,Rejected,200.107.226.41,78331fff-2730-4cb5-a9f5-2b3f1b2c9504,Edge,Malda,Bihar,27.214923,79.613115,571,1,3,11,1,1,1,6,True,True,True,0.7,0
Charita Nagy,2001-02-20,Female,dvora@example.net,0144841181,"42/610, Wali Zila, Guntakal-562312",ZUOST90282,824448952706,Business,54827,1529213,773.0,0.04,Medical,Online,On-time,Rejected,136.196.84.37,e736999f-c1aa-47d5-a1c2-86453940ac4e,Opera,Jamshedpur,Nagaland,29.936851,86.136854,60,6,2,70,1,1,1,3,True,True,True,0.97,0
Maya Ganguly,1969-03-11,Other,kalesamesh@example.net,7080122092,"459, Panchal Marg, Gopalpur-607110",CUYTI26399,997432651504,Education,559297,210543,545.0,2.66,Business,Online,Delayed,Approved,209.16.148.174,149f5d56-5c18-4c7b-ada6-c8418d8cfabf,Opera,Bhalswa Jahangir Pur,Andhra Pradesh,19.83173,74.516319,124,14,0,82,1,1,1,3,True,True,True,0.8,0
Maya Madan,1984-12-26,Other,onkar47@example.net,1326215069,"01/693, Vaidya Circle, Ramagundam 042998",AHFQQ90487,819723242844,Auto,1792692,1900542,794.0,0.94,Medical,Online,Delayed,Approved,159.63.254.84,26ab5d8c-ce75-4fd9-a277-0027a4480c38,Safari,Nagercoil,Uttarakhand,13.527701,85.38195,147,2,2,98,1,1,1,7,True,True,True,0.74,0
Rushil Dugar,1984-10-20,Female,vsolanki@example.org,8271059716,"53/50, Venkatesh Path, Howrah 641382",ICBLH43448,274264059302,Personal,1236312,1672639,605.0,0.74,Investment,Agent,Defaulted,Rejected,110.168.165.203,3e796043-24df-4689-afb1-a21b1a5701bf,Firefox,Ambattur,Sikkim,20.949874,82.0459,348,17,4,48,1,1,1,8,True,True,True,0.97,0
Caleb Raghavan,1991-11-04,Other,rameshjacob@example.org,8435861377,"45/394, Kannan Zila, Kavali-598719",SBTTS15024,292126014437,Home,2448293,953148,539.0,2.57,Medical,Online,Delayed,Rejected,32.253.229.148,8a66409c-51a9-464a-941a-bbec71adf9d1,Safari,Chinsurah,Andhra Pradesh,19.196284,87.246976,163,15,0,16,1,1,1,9,True,True,True,0.99,0
Yashasvi Subramaniam,2002-02-08,Male,hiralmodi@example.org,6068755448,"H.No. 383, Dugar Nagar, Panihati 642870",JYWIE52622,629614596719,Education,468221,1252999,767.0,0.37,Renovation,Agent,On-time,Rejected,214.217.86.118,ce9a1b39-7058-4ced-b038-f19426d8f2f9,Firefox,Vadodara,Himachal Pradesh,10.170019,90.664233,279,10,4,88,1,1,1,7,True,True,True,0.86,0
Nisha Edwin,1982-01-30,Other,aarinirau@example.com,7638174634,"448, Bath, Panipat-457400",PEBXZ04701,936251573405,Business,1643874,814086,799.0,2.02,Investment,Online,Defaulted,Approved,163.177.132.227,e0a87141-6d8b-4bc8-86da-8824a2f79636,Firefox,Thane,Arunachal Pradesh,26.303669,94.706944,240,23,0,55,1,1,1,2,True,True,True,0.9,0
Sanya Ravel,1992-05-08,Male,fitangole@example.com,4426842911,"190, Shah Ganj, Bellary 995221",OHPDJ74211,198089232545,Education,747784,1605425,606.0,0.47,Renovation,Online,Delayed,Approved,94.141.83.5,72581e56-f632-4eaa-bff4-242ff320ca16,Edge,Tiruchirappalli,Madhya Pradesh,18.395437,80.489917,258,16,3,72,1,1,1,3,True,True,True,0.67,0
Ronith Grewal,1970-06-04,Female,mukhopadhyayhredhaan@example.net,6787480233,"89/719, Raval Chowk, Dhanbad-755880",ILLAH83659,160758256021,Business,1060113,1193683,,0.89,Marriage,Branch,Defaulted,Rejected,59.57.147.157,fc116942-1a67-4b95-9f7b-1a2e32cc43ea,Safari,Sambalpur,Telangana,15.404475,68.272526,34,9,5,69,1,1,4,6,True,False,True,0.51,1
Bhavya Sani,1990-09-28,Female,balendra32@example.org,2767762718,"14/25, Chand Zila, Parbhani 257050",GOBIG40191,653260997274,Home,1663520,1939574,794.0,0.86,Renovation,Online,Delayed,Rejected,198.16.123.107,8b63de74-0701-44ff-97c3-fc47ed378b1f,Opera,Siwan,Meghalaya,16.580299,88.279093,30,21,3,35,1,1,1,1,True,True,True,0.83,0
Turvi Ray,1989-04-19,Other,sandhutanveer@example.com,8839572099,"06, Mohan, Surat 456415",JZCVU68048,220626296030,Personal,2133425,1896589,593.0,1.12,Marriage,Agent,Delayed,Approved,180.104.105.110,850b3604-e1f5-4b3c-ab03-2f43824c494b,Firefox,Khandwa,Assam,26.005844,87.655169,148,20,0,80,1,1,1,1,True,True,True,0.72,0
Parth Radhakrishnan,1983-11-16,Other,mtata@example.net,9728559972,"035, Chahal Road, Raipur 032221",PTSLO67504,952066399547,Auto,601181,339023,602.0,1.77,Travel,Agent,Delayed,Approved,220.99.33.243,ef759d43-fdf4-456e-a9f4-18bb6779bb0d,Firefox,Sasaram,Telangana,11.832634,83.642825,382,16,4,34,1,1,1,3,True,True,True,0.7,0
Aarna Shere,2007-04-07,Female,ucchal34@example.net,7517941726,"90/597, Kala Ganj, Vadodara-380366",PABGK72519,102687125080,Auto,1470674,1836597,417.0,0.8,Medical,Online,On-time,Approved,139.86.185.242,782ab5d7-ce28-4327-a31b-c1211272961f,Safari,Bidhannagar,Meghalaya,36.050823,91.333042,382,2,3,1,1,1,1,5,True,True,True,0.81,0
Zayyan Sur,1972-04-30,Other,nihalsachdeva@example.org,5156814599,"51, Prabhu Street, Indore 986954",QLXLW68651,237955193159,Auto,1648136,1874734,680.0,0.88,Renovation,Agent,On-time,Rejected,157.133.152.217,359409c3-fe9d-4f4e-a4d4-0b0188dbde7a,Chrome,Bijapur,Assam,25.966859,95.351905,343,19,1,82,1,1,1,2,True,True,True,0.85,0
Chakrika Bhalla,1965-03-03,Other,hayervaishnavi@example.net,1608412798,"236, Sekhon, Vijayawada 926030",UPSJM00999,592309124060,Auto,1762516,394687,443.0,4.47,Renovation,Online,Delayed,Rejected,214.203.87.169,f8f443ea-f40a-4fb9-a411-310157b28e21,Chrome,Jorhat,Nagaland,10.818568,93.73052,146,12,3,47,1,1,1,9,True,True,True,0.77,0
Darsh Shroff,1990-04-09,Male,upma92@example.com,5281752285,"132, Pall Chowk, Kadapa-172846",XLJPQ92156,363734910080,Education,465326,1898381,801.0,0.25,Investment,Branch,Delayed,Approved,194.115.202.134,6985d110-3d19-44cd-a321-4fae37a663ab,Edge,Dindigul,Uttarakhand,14.300821,80.89618,249,11,0,87,1,1,1,6,True,True,True,0.82,0
Idika Dar,1999-11-30,Female,omdora@example.org,5153865173,"85/95, Boase Street, Nandyal-734930",VFOPC03924,980899887103,Personal,1719918,728565,494.0,2.36,Renovation,Branch,On-time,Approved,177.107.168.145,421986d2-c59c-429c-9553-57464365bcc2,Opera,Nagaon,Himachal Pradesh,36.161706,69.466777,349,7,1,100,1,1,1,10,True,True,True,0.68,0
Arunima Radhakrishnan,1985-09-11,Other,devansh94@example.org,6210051553,"H.No. 39, Loyal Marg, Karawal Nagar 547241",LNRMH19298,512352245294,Home,955765,1855095,538.0,0.52,Travel,Online,Defaulted,Approved,13.197.208.179,43c23d0d-9f87-4c33-afc8-e322ca069282,Edge,Sambhal,West Bengal,32.893778,72.195951,141,17,2,22,1,1,1,2,True,True,True,0.86,0
Yashoda Kaul,1977-10-22,Male,dshroff@example.com,8889388892,"98/21, Sampath Road, Rohtak-802940",HLSCE78241,577943139201,Auto,1047957,1384914,,0.76,Marriage,Branch,On-time,Approved,219.153.128.35,855eb51a-e8ce-4b59-b3a4-c1c9bc700e58,Safari,Pimpri-Chinchwad,Odisha,23.25648,89.624293,35,14,2,65,3,1,4,9,False,True,True,0.65,1
Pranav Walia,1963-10-09,Female,vedantkade@example.net,0409621632,"H.No. 00, Mangat Ganj, Bhusawal 740982",BTYZF32219,995819920992,Education,180655,277560,790.0,0.65,Medical,Branch,Defaulted,Approved,207.17.208.201,6cc66c87-38a3-4d92-a7a6-1b239d6ff16e,Safari,Kota,Tripura,28.659638,80.863308,90,10,4,18,1,1,1,2,True,True,True,0.65,0
Prisha Kala,1991-10-20,Other,harrison12@example.com,1870585991,"H.No. 72, Manda Chowk, Warangal-049200",KFBWU14653,153667537361,Business,1413926,948814,843.0,1.49,Travel,Branch,Defaulted,Rejected,217.44.172.207,b3975cd4-f774-4d77-bcfe-437e325cc31f,Chrome,Miryalaguda,Karnataka,30.999787,71.318008,572,23,1,55,1,1,1,8,True,True,True,0.96,0
